"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"50","Catawba County","Shannon diversity",4.711,7.924,2.972,4.711,13.749
"51","Catawba County","Simpson diversity",4.455,9.143,3.233,4.455,15.48
"52","Chatham County","Species richness",10,10.989,2.244,10.07,23.876
"53","Chatham County","Shannon diversity",6.638,6.999,0.498,6.638,7.976
"54","Chatham County","Simpson diversity",5.255,5.436,0.556,5.255,6.525
"55","Cherokee County","Species richness",7,8.35,2.095,7.154,18.825
"56","Cherokee County","Shannon diversity",6.163,8.531,2.199,6.163,12.841
"57","Cherokee County","Simpson diversity",5.452,7.9,2.193,5.452,12.197
"58","Cleveland County","Species richness",11,11.495,1.312,11.029,19.374
"59","Cleveland County","Shannon diversity",7.331,7.672,0.554,7.331,8.757
"60","Cleveland County","Simpson diversity",5.887,6.088,0.57,5.887,7.204
"61","Craven County","Species richness",11,11,0.546,11,12.571
"62","Craven County","Shannon diversity",7.236,7.447,0.387,7.236,8.204
"63","Craven County","Simpson diversity",5.501,5.614,0.5,5.501,6.594
"64","Currituck County","Species richness",10,10.247,0.723,10.013,14.694
"65","Currituck County","Shannon diversity",7.542,7.913,0.483,7.542,8.861
"66","Currituck County","Simpson diversity",6.76,7.104,0.461,6.76,8.008
"67","Dare County","Species richness",12,14.962,4.463,12.351,37.013
"68","Dare County","Shannon diversity",7.84,8.495,0.753,7.84,9.971
"69","Dare County","Simpson diversity",6.267,6.571,0.63,6.267,7.806
"70","Davidson County","Species richness",6,7.286,2.01,6.145,17.37
"71","Davidson County","Shannon diversity",5.67,8.53,2.937,5.67,14.287
"72","Davidson County","Simpson diversity",5.4,10.429,2.328,5.865,14.992
"73","Davie County","Species richness",7,22,19.748,9.102,114.063
"74","Davie County","Shannon diversity",6.727,22.918,10.895,6.727,44.272
"75","Davie County","Simpson diversity",6.4,23.5,9.14,6.4,41.413
"76","Duplin County","Species richness",8,9.432,2.202,8.165,20.403
"77","Duplin County","Shannon diversity",5.078,6.226,1.203,5.078,8.583
"78","Duplin County","Simpson diversity",3.429,3.705,0.991,3.429,5.647
"79","Durham County","Species richness",9,13.417,7.066,9.485,49.201
"80","Durham County","Shannon diversity",5.399,6.026,0.812,5.399,7.617
"81","Durham County","Simpson diversity",4.196,4.372,0.516,4.196,5.384
"82","Edgecombe County","Species richness",1,1,0.312,1,2.549
"83","Edgecombe County","Shannon diversity",1,0,0,1,0
"84","Edgecombe County","Simpson diversity",1,1,0,1,1
"85","Forsyth County","Species richness",8,8.161,0.522,8.007,11.448
"86","Forsyth County","Shannon diversity",6.56,7.392,0.929,6.56,9.213
"87","Forsyth County","Simpson diversity",5.753,6.588,1.01,5.753,8.568
"88","Franklin County","Species richness",7,7,0.616,7,8.944
"89","Franklin County","Shannon diversity",6.331,7.208,0.804,6.331,8.784
"90","Franklin County","Simpson diversity",5.878,7.136,1.064,5.878,9.221
"91","Gaston County","Species richness",6,7.875,3.524,6.168,26.868
"92","Gaston County","Shannon diversity",4.905,5.991,1.18,4.905,8.305
"93","Gaston County","Simpson diversity",4.349,5.072,1.027,4.349,7.085
"94","Gates County","Species richness",10,11.442,2.216,10.167,22.478
"95","Gates County","Shannon diversity",7.579,9.228,1.375,7.579,11.924
"96","Gates County","Simpson diversity",6,7.01,1.384,6,9.722
"97","Granville County","Species richness",7,9.089,3.177,7.245,24.844
"98","Granville County","Shannon diversity",5.853,8.018,1.949,5.853,11.837
"99","Granville County","Simpson diversity",5,6.571,1.866,5,10.228
"100","Greene County","Species richness",8,11.692,4.913,8.51,34.706
"101","Greene County","Shannon diversity",6.727,9.848,3.184,6.727,16.089
"102","Greene County","Simpson diversity",5.818,7.989,2.366,5.818,12.625
"103","Guilford County","Species richness",9,9,0.496,9,10.415
"104","Guilford County","Shannon diversity",6.969,7.284,0.415,6.969,8.097
"105","Guilford County","Simpson diversity",5.912,6.185,0.628,5.912,7.416
"106","Halifax County","Species richness",1,1,0.312,1,2.549
"107","Halifax County","Shannon diversity",1,0,0,1,0
"108","Halifax County","Simpson diversity",1,1,0,1,1
"109","Harnett County","Species richness",8,8,0.498,8,9.318
"110","Harnett County","Shannon diversity",5.877,6.215,0.544,5.877,7.28
"111","Harnett County","Simpson diversity",4.561,4.766,0.652,4.561,6.043
"112","Haywood County","Species richness",13,20.886,11.5,13.973,76.927
"113","Haywood County","Shannon diversity",9.188,10.366,1.103,9.188,12.529
"114","Haywood County","Simpson diversity",7.891,8.506,0.784,7.891,10.043
"115","Henderson County","Species richness",9,9.246,0.719,9.013,13.671
"116","Henderson County","Shannon diversity",6.706,7.123,0.603,6.706,8.305
"117","Henderson County","Simpson diversity",5.748,6.074,0.607,5.748,7.265
"118","Hertford County","Species richness",6,18.5,11.242,8.764,62.521
"119","Hertford County","Shannon diversity",6,26.008,8.347,9.648,42.368
"120","Hertford County","Simpson diversity",6,6,7.402,6,20.507
"121","Hofmann Forest","Species richness",9,9,0.497,9,10.421
"122","Hofmann Forest","Shannon diversity",6.824,7.161,0.464,6.824,8.07
"123","Hofmann Forest","Simpson diversity",5.494,5.741,0.586,5.494,6.89
"124","Hoke County","Species richness",7,14.273,10.633,7.894,66.142
"125","Hoke County","Shannon diversity",5.919,10.024,4.684,5.919,19.204
"126","Hoke County","Simpson diversity",5.121,7.182,3.529,5.121,14.099
"127","Hyde County","Species richness",9,9.248,0.725,9.013,13.707
"128","Hyde County","Shannon diversity",5.039,5.191,0.353,5.039,5.883
"129","Hyde County","Simpson diversity",3.956,4.016,0.271,3.956,4.547
"130","Iredell County","Species richness",9,18.5,9.657,10.822,58.521
"131","Iredell County","Shannon diversity",7.018,10.533,2.597,7.018,15.624
"132","Iredell County","Simpson diversity",5.902,7.365,2.188,5.902,11.652
"133","Jackson County","Species richness",8,9.909,3.584,8.172,29.212
"134","Jackson County","Shannon diversity",6.635,7.938,1.439,6.635,10.758
"135","Jackson County","Simpson diversity",5.832,6.883,1.214,5.832,9.262
"136","Johnston County","Species richness",7,7,0.272,7,7.618
"137","Johnston County","Shannon diversity",6.164,6.566,0.454,6.164,7.457
"138","Johnston County","Simpson diversity",5.434,5.881,0.772,5.434,7.393
"139","Jones County","Species richness",7,14.273,10.633,7.894,66.142
"140","Jones County","Shannon diversity",5.64,9.165,3.643,5.64,16.304
"141","Jones County","Simpson diversity",4.667,6,2.58,4.667,11.056
"142","Lee County","Species richness",3,5,2.921,3.246,19.244
"143","Lee County","Shannon diversity",3,7.184,2.361,3,11.811
"144","Lee County","Simpson diversity",3,3,1.702,3,6.336
"145","Lenoir County","Species richness",4,7.375,5.473,4.365,35.241
"146","Lenoir County","Shannon diversity",3.789,7.854,3.396,3.789,14.51
"147","Lenoir County","Simpson diversity",3.571,7.75,2.558,3.571,12.763
"148","Lincoln County","Species richness",7,9.077,3.16,7.243,24.752
"149","Lincoln County","Shannon diversity",6.107,8.554,2.234,6.107,12.931
"150","Lincoln County","Simpson diversity",5.444,7.713,2.197,5.444,12.019
"151","Macon County","Species richness",12,17.915,7.076,12.933,49.517
"152","Macon County","Shannon diversity",7.918,8.815,0.896,7.918,10.571
"153","Macon County","Simpson diversity",6.605,7.004,0.678,6.605,8.332
"154","Madison County","Species richness",10,10,0.52,10,11.371
"155","Madison County","Shannon diversity",8.832,9.743,0.75,8.832,11.213
"156","Madison County","Simpson diversity",7.751,8.877,1.038,7.751,10.912
"157","McDowell County","Species richness",6,18.5,11.242,8.764,62.521
"158","McDowell County","Shannon diversity",6,26.008,9.449,7.489,44.527
"159","McDowell County","Simpson diversity",6,6,6.08,6,17.916
"160","Mecklenburg County","Species richness",9,11.932,4.384,9.351,33.521
"161","Mecklenburg County","Shannon diversity",6.844,7.737,0.75,6.844,9.207
"162","Mecklenburg County","Simpson diversity",6.048,6.628,0.704,6.048,8.008
"163","Montgomery County","Species richness",8,9.4,2.16,8.161,20.179
"164","Montgomery County","Shannon diversity",7.1,9.644,2.052,7.1,13.665
"165","Montgomery County","Simpson diversity",6.4,9.4,1.987,6.4,13.294
"166","Moore County","Species richness",11,20.853,10.044,12.884,62.53
"167","Moore County","Shannon diversity",5.153,5.835,0.868,5.153,7.537
"168","Moore County","Simpson diversity",3.292,3.355,0.489,3.292,4.314
"169","Nash County","Species richness",6,6.475,1.266,6.028,14.091
"170","Nash County","Shannon diversity",5.11,5.812,0.859,5.11,7.495
"171","Nash County","Simpson diversity",4.6,5.275,0.862,4.6,6.964
"172","New Hanover County","Species richness",8,8.243,0.713,8.013,12.637
"173","New Hanover County","Shannon diversity",6.363,6.955,0.751,6.363,8.427
"174","New Hanover County","Simpson diversity",5.553,6.082,0.737,5.553,7.526
"175","Onslow County","Species richness",8,8,0.611,8,9.862
"176","Onslow County","Shannon diversity",6.307,6.895,0.607,6.307,8.085
"177","Onslow County","Simpson diversity",5.172,5.646,0.855,5.172,7.321
"178","Orange County","Species richness",11,16.961,7.113,11.943,48.692
"179","Orange County","Shannon diversity",6.45,6.78,0.398,6.45,7.561
"180","Orange County","Simpson diversity",5.399,5.515,0.323,5.399,6.148
"181","Pamlico County","Species richness",6,7.312,2.045,6.149,17.56
"182","Pamlico County","Shannon diversity",5.67,8.624,3.043,5.67,14.587
"183","Pamlico County","Simpson diversity",5.4,10.625,2.467,5.79,15.46
"184","Pasquotank County","Species richness",8,11.733,4.964,8.517,34.975
"185","Pasquotank County","Shannon diversity",6.622,9.754,2.985,6.622,15.604
"186","Pasquotank County","Simpson diversity",5.565,7.533,2.543,5.565,12.518
"187","Pender County","Species richness",12,16.47,7.147,12.491,52.656
"188","Pender County","Shannon diversity",5.227,5.492,0.477,5.227,6.426
"189","Pender County","Simpson diversity",3.172,3.2,0.29,3.172,3.769
"190","Person County","Species richness",2,2.5,1.107,2.037,8.808
"191","Person County","Shannon diversity",2,3.375,1.51,2,6.335
"192","Person County","Simpson diversity",2,2,0.73,2,3.43
"193","Pitt County","Species richness",5,5.583,1.174,5.048,12.062
"194","Pitt County","Shannon diversity",4.757,6.702,2.334,4.757,11.277
"195","Pitt County","Simpson diversity",4.571,8.292,2.317,4.571,12.832
"196","Polk County","Species richness",4,4.139,0.472,4.006,7.134
"197","Polk County","Shannon diversity",3.864,4.944,2.253,3.864,9.36
"198","Polk County","Simpson diversity",3.769,6,2.133,3.769,10.181
"199","Randolph County","Species richness",7,7.238,0.702,7.012,11.569
"200","Randolph County","Shannon diversity",5.972,6.741,0.985,5.972,8.672
"201","Randolph County","Simpson diversity",5.4,6.238,0.961,5.4,8.122
"202","Richmond County","Species richness",2,2.5,1.107,2.037,8.808
"203","Richmond County","Shannon diversity",2,3.375,1.464,2,6.244
"204","Richmond County","Simpson diversity",2,2,0.818,2,3.604
"205","Rockingham County","Species richness",5,5,0.506,5,6.412
"206","Rockingham County","Shannon diversity",4.413,4.913,0.6,4.413,6.088
"207","Rockingham County","Simpson diversity",3.967,4.516,0.868,3.967,6.218
"208","Rowan County","Species richness",6,6,0.259,6,6.586
"209","Rowan County","Shannon diversity",5.584,5.956,0.38,5.584,6.702
"210","Rowan County","Simpson diversity",5.27,5.792,0.564,5.27,6.898
"211","Rutherford County","Species richness",10,14.312,6.907,10.473,49.305
"212","Rutherford County","Shannon diversity",8.202,10.134,1.734,8.202,13.533
"213","Rutherford County","Simpson diversity",7.212,8.618,1.37,7.212,11.304
"214","Stanly County","Species richness",6,11.4,6.367,6.867,39.651
"215","Stanly County","Shannon diversity",4.762,7.657,1.957,4.762,11.492
"216","Stanly County","Simpson diversity",4,5.05,1.787,4,8.551
"217","Stokes County","Species richness",11,11.986,1.849,11.089,21.938
"218","Stokes County","Shannon diversity",7.261,7.801,0.696,7.261,9.165
"219","Stokes County","Simpson diversity",5.853,6.149,0.631,5.853,7.386
"220","Surry County","Species richness",11,20.897,10.087,12.893,62.751
"221","Surry County","Shannon diversity",6.397,6.996,0.644,6.397,8.258
"222","Surry County","Simpson diversity",5.295,5.463,0.439,5.295,6.323
"223","Swain County","Species richness",7,10.6,4.8,7.497,33.102
"224","Swain County","Shannon diversity",6.336,10.557,3.966,6.336,18.331
"225","Swain County","Simpson diversity",5.762,10,4.192,5.762,18.216
"226","Transylvania County","Species richness",8,12.345,6.956,8.477,47.583
"227","Transylvania County","Shannon diversity",5.861,6.957,1.177,5.861,9.265
"228","Transylvania County","Simpson diversity",5.041,5.558,0.764,5.041,7.056
"229","Union County","Species richness",8,8.486,1.292,8.029,16.252
"230","Union County","Shannon diversity",6.314,6.928,0.809,6.314,8.514
"231","Union County","Simpson diversity",5.422,5.924,0.794,5.422,7.481
"232","Wake County","Species richness",11,13.979,4.476,11.354,36.067
"233","Wake County","Shannon diversity",7.496,7.835,0.419,7.496,8.656
"234","Wake County","Simpson diversity",6.388,6.575,0.488,6.388,7.531
"235","Warren County","Species richness",8,8.963,1.811,8.086,18.727
"236","Warren County","Shannon diversity",5.866,6.767,0.982,5.866,8.691
"237","Warren County","Simpson diversity",4.688,5.184,0.856,4.688,6.862
"238","Watauga County","Species richness",14,16.643,3.458,14.373,32.719
"239","Watauga County","Shannon diversity",7.615,8.146,0.655,7.615,9.43
"240","Watauga County","Simpson diversity",5.701,5.875,0.564,5.701,6.981
"241","Wilkes County","Species richness",7,7,0.566,7,8.699
"242","Wilkes County","Shannon diversity",5.837,6.323,0.548,5.837,7.397
"243","Wilkes County","Simpson diversity",5.263,5.787,0.612,5.263,6.987
"244","Wilson County","Species richness",5,12.5,7.578,6.449,43.816
"245","Wilson County","Shannon diversity",5,17.615,5.967,5.919,29.311
"246","Wilson County","Simpson diversity",5,5,4.268,5,13.365
"247","Yadkin County","Species richness",3,4.5,2.25,3.179,15.595
"248","Yadkin County","Shannon diversity",3,6,2.579,3,11.055
"249","Yadkin County","Simpson diversity",3,3,1.324,3,5.594
"250","Yancey County","Species richness",10,10.243,0.713,10.013,14.635
"251","Yancey County","Shannon diversity",8.352,9.325,0.987,8.352,11.26
"252","Yancey County","Simpson diversity",7.278,8.308,1.04,7.278,10.346
